model,metric,family,direction,value
gaussian-mixture,prediction_coverage,runtime,higher,1.0
gaussian-mixture,fit_seconds,runtime,lower,1.6450354997068644
gaussian-mixture,regime_persistence,regime_quality,higher,0.963855421686747
gaussian-mixture,switching_frequency,regime_quality,lower,0.03614457831325302
gaussian-mixture,occupancy_concentration,regime_quality,lower,0.665888
gaussian-mixture,state_entropy,regime_quality,higher,0.7452883145630643
gaussian-mixture,transition_concentration,regime_quality,higher,0.9426261070465922
gaussian-mixture,probability_entropy,regime_quality,lower,0.16965883075190868
gaussian-mixture,aligned_accuracy,recovery,higher,0.88
gaussian-mixture,balanced_accuracy,recovery,higher,0.900182693904667
gaussian-mixture,adjusted_rand_index,recovery,higher,0.4687044868482189
gaussian-mixture,normalized_mutual_information,recovery,higher,0.35167036844076016
gaussian-mixture,macro_f1,recovery,higher,0.7767857142857143
gaussian-mixture,boundary_precision,recovery,higher,0.0
gaussian-mixture,boundary_recall,recovery,higher,0.0
gaussian-mixture,boundary_f1,recovery,higher,0.0
gaussian-mixture,recovery_score,recovery,higher,0.6071651700092086
gaussian-mixture,confidence_calibration,regime_quality,lower,0.09134396895896213
hdbscan,prediction_coverage,runtime,higher,1.0
hdbscan,fit_seconds,runtime,lower,0.02727710036560893
hdbscan,regime_persistence,regime_quality,higher,0.9839357429718876
hdbscan,switching_frequency,regime_quality,lower,0.016064257028112428
hdbscan,occupancy_concentration,regime_quality,lower,0.770848
hdbscan,state_entropy,regime_quality,higher,0.5628977911449632
hdbscan,transition_concentration,regime_quality,higher,0.9650673400673401
hdbscan,probability_entropy,regime_quality,lower,0.0
hdbscan,aligned_accuracy,recovery,higher,0.936
hdbscan,balanced_accuracy,recovery,higher,0.8827437302773625
hdbscan,adjusted_rand_index,recovery,higher,0.6403965835786883
hdbscan,normalized_mutual_information,recovery,higher,0.4453787061653608
hdbscan,macro_f1,recovery,higher,0.8484848484848484
hdbscan,boundary_precision,recovery,higher,0.0
hdbscan,boundary_recall,recovery,higher,0.0
hdbscan,boundary_f1,recovery,higher,0.0
hdbscan,recovery_score,recovery,higher,0.655467596119486
hdbscan,confidence_calibration,regime_quality,lower,0.06399999999999995
hierarchical-clustering,prediction_coverage,runtime,higher,1.0
hierarchical-clustering,fit_seconds,runtime,lower,0.0408997000195086
hierarchical-clustering,regime_persistence,regime_quality,higher,0.9759036144578314
hierarchical-clustering,switching_frequency,regime_quality,lower,0.02409638554216864
hierarchical-clustering,occupancy_concentration,regime_quality,lower,0.7649919999999999
hierarchical-clustering,state_entropy,regime_quality,higher,0.5736665363828041
hierarchical-clustering,transition_concentration,regime_quality,higher,0.94890560875513
hierarchical-clustering,probability_entropy,regime_quality,lower,0.0
hierarchical-clustering,aligned_accuracy,recovery,higher,0.924
hierarchical-clustering,balanced_accuracy,recovery,higher,0.8597409068261086
hierarchical-clustering,adjusted_rand_index,recovery,higher,0.5829401061203093
hierarchical-clustering,normalized_mutual_information,recovery,higher,0.3842902974375808
hierarchical-clustering,macro_f1,recovery,higher,0.8226222039657941
hierarchical-clustering,boundary_precision,recovery,higher,0.0
hierarchical-clustering,boundary_recall,recovery,higher,0.0
hierarchical-clustering,boundary_f1,recovery,higher,0.0
hierarchical-clustering,recovery_score,recovery,higher,0.6303539102149397
hierarchical-clustering,confidence_calibration,regime_quality,lower,0.07599999999999996
jump-penalized-kmeans,prediction_coverage,runtime,higher,1.0
jump-penalized-kmeans,fit_seconds,runtime,lower,0.030747899785637856
jump-penalized-kmeans,regime_persistence,regime_quality,higher,0.9839357429718876
jump-penalized-kmeans,switching_frequency,regime_quality,lower,0.016064257028112428
jump-penalized-kmeans,occupancy_concentration,regime_quality,lower,0.770848
jump-penalized-kmeans,state_entropy,regime_quality,higher,0.5628977911449632
jump-penalized-kmeans,transition_concentration,regime_quality,higher,0.9650673400673401
jump-penalized-kmeans,probability_entropy,regime_quality,lower,0.0
jump-penalized-kmeans,aligned_accuracy,recovery,higher,0.936
jump-penalized-kmeans,balanced_accuracy,recovery,higher,0.8827437302773625
jump-penalized-kmeans,adjusted_rand_index,recovery,higher,0.6403965835786883
jump-penalized-kmeans,normalized_mutual_information,recovery,higher,0.4453787061653608
jump-penalized-kmeans,macro_f1,recovery,higher,0.8484848484848484
jump-penalized-kmeans,boundary_precision,recovery,higher,0.0
jump-penalized-kmeans,boundary_recall,recovery,higher,0.0
jump-penalized-kmeans,boundary_f1,recovery,higher,0.0
jump-penalized-kmeans,recovery_score,recovery,higher,0.655467596119486
jump-penalized-kmeans,confidence_calibration,regime_quality,lower,0.06399999999999995
markov-switching-regression,prediction_coverage,runtime,higher,1.0
markov-switching-regression,fit_seconds,runtime,lower,0.8549031000584364
markov-switching-regression,regime_persistence,regime_quality,higher,0.8072289156626506
markov-switching-regression,switching_frequency,regime_quality,lower,0.19277108433734935
markov-switching-regression,occupancy_concentration,regime_quality,lower,0.7151679999999999
markov-switching-regression,state_entropy,regime_quality,higher,0.6622595460438849
markov-switching-regression,transition_concentration,regime_quality,higher,0.7208173402573945
markov-switching-regression,probability_entropy,regime_quality,lower,0.79596084321715
markov-switching-regression,aligned_accuracy,recovery,higher,0.824
markov-switching-regression,balanced_accuracy,recovery,higher,0.6734761667497093
markov-switching-regression,adjusted_rand_index,recovery,higher,0.210334523453482
markov-switching-regression,normalized_mutual_information,recovery,higher,0.0798666212249374
markov-switching-regression,macro_f1,recovery,higher,0.6345514950166113
markov-switching-regression,boundary_precision,recovery,higher,0.0
markov-switching-regression,boundary_recall,recovery,higher,0.0
markov-switching-regression,boundary_f1,recovery,higher,0.0
markov-switching-regression,recovery_score,recovery,higher,0.46951025745299985
markov-switching-regression,confidence_calibration,regime_quality,lower,0.2152108623662488
markov-switching-var,prediction_coverage,runtime,higher,1.0
markov-switching-var,fit_seconds,runtime,lower,0.8447871999815106
markov-switching-var,regime_persistence,regime_quality,higher,0.9718875502008032
markov-switching-var,switching_frequency,regime_quality,lower,0.028112449799196804
markov-switching-var,occupancy_concentration,regime_quality,lower,0.623008
markov-switching-var,state_entropy,regime_quality,higher,0.8144326879441559
markov-switching-var,transition_concentration,regime_quality,higher,0.960189452124936
markov-switching-var,probability_entropy,regime_quality,lower,0.04547160868622649
markov-switching-var,aligned_accuracy,recovery,higher,0.848
markov-switching-var,balanced_accuracy,recovery,higher,0.8985218402258761
markov-switching-var,adjusted_rand_index,recovery,higher,0.391725953390842
markov-switching-var,normalized_mutual_information,recovery,higher,0.32329482193433084
markov-switching-var,macro_f1,recovery,higher,0.7425474254742548
markov-switching-var,boundary_precision,recovery,higher,0.0
markov-switching-var,boundary_recall,recovery,higher,0.0
markov-switching-var,boundary_f1,recovery,higher,0.0
markov-switching-var,recovery_score,recovery,higher,0.5847045107216472
markov-switching-var,confidence_calibration,regime_quality,lower,0.14524934531550507
regime-switching-copula,prediction_coverage,runtime,higher,1.0
regime-switching-copula,fit_seconds,runtime,lower,0.02936219982802868
regime-switching-copula,regime_persistence,regime_quality,higher,0.8393574297188755
regime-switching-copula,switching_frequency,regime_quality,lower,0.1606425702811245
regime-switching-copula,occupancy_concentration,regime_quality,lower,0.5
regime-switching-copula,state_entropy,regime_quality,higher,1.0
regime-switching-copula,transition_concentration,regime_quality,higher,0.8393548387096774
regime-switching-copula,probability_entropy,regime_quality,lower,0.0
regime-switching-copula,aligned_accuracy,recovery,higher,0.56
regime-switching-copula,balanced_accuracy,recovery,higher,0.6557050323866467
regime-switching-copula,adjusted_rand_index,recovery,higher,0.012872354556603453
regime-switching-copula,normalized_mutual_information,recovery,higher,0.03799485879936275
regime-switching-copula,macro_f1,recovery,higher,0.4801119177253479
regime-switching-copula,boundary_precision,recovery,higher,0.0
regime-switching-copula,boundary_recall,recovery,higher,0.0
regime-switching-copula,boundary_f1,recovery,higher,0.0
regime-switching-copula,recovery_score,recovery,higher,0.37337466436494315
regime-switching-copula,confidence_calibration,regime_quality,lower,0.43999999999999995
regime-switching-correlation,prediction_coverage,runtime,higher,1.0
regime-switching-correlation,fit_seconds,runtime,lower,0.02975980006158352
regime-switching-correlation,regime_persistence,regime_quality,higher,0.8393574297188755
regime-switching-correlation,switching_frequency,regime_quality,lower,0.1606425702811245
regime-switching-correlation,occupancy_concentration,regime_quality,lower,0.5
regime-switching-correlation,state_entropy,regime_quality,higher,1.0
regime-switching-correlation,transition_concentration,regime_quality,higher,0.8393548387096774
regime-switching-correlation,probability_entropy,regime_quality,lower,0.0
regime-switching-correlation,aligned_accuracy,recovery,higher,0.56
regime-switching-correlation,balanced_accuracy,recovery,higher,0.6557050323866467
regime-switching-correlation,adjusted_rand_index,recovery,higher,0.012872354556603453
regime-switching-correlation,normalized_mutual_information,recovery,higher,0.03799485879936275
regime-switching-correlation,macro_f1,recovery,higher,0.4801119177253479
regime-switching-correlation,boundary_precision,recovery,higher,0.0
regime-switching-correlation,boundary_recall,recovery,higher,0.0
